Thread ID: 268020
Total: 42.315561

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00       85  <Class::ActiveRecord::Base>#respond_to?
  0.00      0.00     0.00     0.00     0.00        2  Kernel#gem_original_require
  0.00      0.00     0.00     0.00     0.00      317  Class#inheritable_attributes
  0.00      0.00     0.00     0.00     0.00      100  Phrase(id: integer, text: string, created_at: datetime, updated_at: datetime)#text
  0.00      0.00     0.00     0.00     0.00      642  Array#length
  0.00      0.02     0.00     0.00     0.01      100  Object#Rational
  0.00      0.02     0.00     0.00     0.02       61  <Class::ActiveRecord::Base>#sanitize_sql
  0.00      0.00     0.00     0.00     0.00      100  Array#index
  0.00      0.00     0.00     0.00     0.00      171  ActiveRecord::NamedScope::ClassMethods#scopes
  0.00      0.00     0.00     0.00     0.00      119  <Class::File>#file?
  0.00      0.00     0.00     0.00     0.00       45  ActiveRecord::AttributeMethods::ClassMethods#instance_method_already_implemented?
  0.00      0.00     0.00     0.00     0.00      194  String#blank?
  0.00      0.00     0.00     0.00     0.00      190  <Class::File>#expand_path
  0.00      0.00     0.00     0.00     0.00       39  ActiveRecord::AttributeMethods::ClassMethods#evaluate_attribute_method
  0.00      0.01     0.00     0.00     0.01      170  <Class::Rational>#new!
  0.00      0.00     0.00     0.00     0.00      256  <Class::ActiveRecord::Base>#active_connections
  0.00     13.85     0.00     0.00    13.85       10  Chart#to_img
  0.00      0.00     0.00     0.00     0.00       80  Page(id: integer, url: string, created_at: datetime, updated_at: datetime, position: integer)#id
  0.00      0.00     0.00     0.00     0.00       10  <Class::Date>#jd_to_civil
  0.00      0.00     0.00     0.00     0.00      336  Hash#keys
  0.00      0.00     0.00     0.00     0.00      351  String#gsub!
  0.00      0.01     0.00     0.00     0.01       26  Array#delete_if
  0.00      0.00     0.00     0.00     0.00       21  ActiveRecord::ConnectionAdapters::AbstractAdapter#format_log_entry
  0.00      0.00     0.00     0.00     0.00        5  Module#public_instance_methods
  0.00      0.00     0.00     0.00     0.00       87  SQLite3::Driver::Native::Driver#column_decltype
  0.00     42.08     0.00     0.00    42.08       10  ActionView::Base::CompiledTemplates#_run_erb_47app47views47dashboards47_page46html46erb
  0.00      0.00     0.00     0.00     0.00       87  SQLite3::Driver::Native::Driver#column_name
  0.00      0.00     0.00     0.00     0.00       38  ActiveSupport::BufferedLogger#flush
  0.00     42.10     0.00     0.00    42.10       10  ActionView::Base#render
  0.00      0.00     0.00     0.00     0.00       37  IO#write
  0.00      0.02     0.00     0.00     0.02       21  <Class::ActiveRecord::Base>#add_conditions!
  0.00      0.00     0.00     0.00     0.00        2  <Class::Dir>#glob
  0.00      0.00     0.00     0.00     0.00       63  ActiveSupport::CoreExtensions::Array::ExtractOptions#extract_options!
  0.00      0.00     0.00     0.00     0.00      118  Kernel#sprintf
  0.00     17.37     0.00     0.00    17.37       10  ActiveRecord::Associations::AssociationCollection#find
  0.00      0.00     0.00     0.00     0.00      190  Chart#colors
  0.00      0.09     0.00     0.00     0.09       55  Proc#call
  0.00      0.01     0.00     0.00     0.01       30  Rational#/
  0.00      0.01     0.00     0.00     0.01       21  ActiveRecord::ConnectionAdapters::AbstractAdapter#log_info
  0.00     17.49     0.00     0.00    17.49       20  ActiveRecord::Associations::AssociationProxy#with_scope-1
  0.00      0.00     0.00     0.00     0.00       85  <Class::ActiveRecord::Base>#matches_dynamic_finder?
  0.00     11.08     0.00     0.00    11.08       21  ActiveRecord::ConnectionAdapters::QueryCache#cache_sql
  0.00      0.00     0.00     0.00     0.00      116  Set#include?
  0.00      0.00     0.00     0.00     0.00       10  <Class::Date>#civil_to_jd
  0.00      0.00     0.00     0.00     0.00       10  Chart#filter_by_factor_of
  0.00      0.00     0.00     0.00     0.00      272  Hash#delete
  0.00     42.08     0.00     0.00    42.08      145  Kernel#send-4
  0.00      0.00     0.00     0.00     0.00       85  <Class::ActiveRecord::Base>#matches_dynamic_finder_with_initialize_or_create?
  0.00      0.00     0.00     0.00     0.00      100  Category#initialize
  0.00      0.05     0.00     0.00     0.05        9  ActiveSupport::Dependencies#require_or_load-1
  0.00      0.00     0.00     0.00     0.00      108  ActiveSupport::Dependencies#uninherited_const_defined?
  0.00      8.45     0.00     0.00     8.45       15  SQLite3::Database#prepare
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::CoreExtensions::Time::Calculations#change
  0.00      0.00     0.00     0.00     0.00       31  ActiveRecord::NamedScope::Scope#initialize
  0.00      0.00     0.00     0.00     0.00      332  Fixnum#>
  0.00     17.51     0.00     0.00    17.51       11  ActiveRecord::NamedScope::Scope#with_scope
  0.00      0.20     0.00     0.00     0.20        8  ActiveSupport::Dependencies#new_constants_in
  0.00      0.01     0.00     0.00     0.01       30  Rational#+
  0.00      0.10     0.00     0.00     0.10        6  ActiveSupport::Dependencies#load_missing_constant
  0.00     17.38     0.00     0.00    17.38       10  ActiveRecord::NamedScope::Scope#with_scope-5
  0.00      0.00     0.00     0.00     0.00      179  <Class::File>#join
  0.00      0.01     0.00     0.00     0.00       30  Rational#/-1
  0.00     17.38     0.00     0.00    17.38       11  <Class::ActiveRecord::Base>#find_every
  0.00      0.00     0.00     0.00     0.00        4  <Class::Dir>#[]
  0.00      0.00     0.00     0.00     0.00       85  Module#undef_method
  0.00     17.55     0.00     0.00    17.55       31  ActiveRecord::NamedScope::Scope#method_missing
  0.00      0.00     0.00     0.00     0.00      307  Module#==
  0.00      0.00     0.00     0.00     0.00       36  Class#write_inheritable_attribute
  0.00     42.21     0.00     0.00    42.20      135  Kernel#send-2
  0.00     17.48     0.00     0.00    17.48       10  ActiveRecord::NamedScope::Scope#with_scope-3
  0.00      0.50     0.00     0.00     0.50      110  Enumerable#max
  0.00      0.00     0.00     0.00     0.00      153  String#concat
  0.00      0.01     0.00     0.00     0.01       30  <Class::ActiveRecord::Base>#quote_bound_value
  0.00      0.00     0.00     0.00     0.00       21  <Class::ActiveRecord::Base>#add_limit!
  0.00      0.00     0.00     0.00     0.00      111  Enumerable#any?
  0.00      0.00     0.00     0.00     0.00       39  ActiveSupport::CoreExtensions::String::StartsEndsWith#starts_with?
  0.00      0.00     0.00     0.00     0.00       42  <Class::ActiveRecord::Base>#safe_to_array
  0.00      0.04     0.00     0.00     0.03       10  ActiveSupport::CoreExtensions::Time::Calculations#advance
  0.00      0.05     0.00     0.00     0.05       31  Module#local_constants
  0.00      0.18     0.00     0.00     0.18        6  ActiveSupport::Dependencies#require_or_load
  0.00      0.03     0.00     0.00     0.03       10  Page(id: integer, url: string, created_at: datetime, updated_at: datetime, position: integer)#phrase_counts
  0.00      0.03     0.00     0.00     0.02       10  ActiveRecord::Associations::HasManyAssociation#construct_sql
  0.00      0.00     0.00     0.00     0.00       70  <Class::File>#directory?
  0.00      0.00     0.00     0.00     0.00       16  ActiveSupport::Dependencies#remove_constant
  0.00     22.96     0.00     0.00    22.96       10  ActiveRecord::NamedScope::Scope#inject
  0.00      0.00     0.00     0.00     0.00      262  Array#first
  0.00      0.00     0.00     0.00     0.00       38  ActiveSupport::Inflector#camelize
  0.00      0.00     0.00     0.00     0.00       12  ActionView::Template#set_extension_and_file_name
  0.00      0.00     0.00     0.00     0.00      182  Hash#==
  0.00      0.09     0.00     0.00     0.09       15  SQLite3::Statement#execute
  0.00      0.05     0.00     0.00     0.04        7  ActiveSupport::Dependencies#new_constants_in-1
  0.00      0.00     0.00     0.00     0.00       37  ActiveSupport::BufferedLogger#auto_flush
  0.00      0.14     0.00     0.00     0.14       71  ActiveRecord::NamedScope::Scope#scopes
  0.00      0.00     0.00     0.00     0.00       12  ActionView::TemplateHandlers::Compilable#compile_template?
  0.00      0.01     0.00     0.00     0.00       12  ActionView::Template#initialize
  0.00      0.00     0.00     0.00     0.00       54  ActiveSupport::Dependencies#log_call
  0.00      3.98     0.00     0.00     3.98       10  ActiveRecord::AssociationPreload::ClassMethods#preload_associations-1
  0.00      0.00     0.00     0.00     0.00      178  Module#const_defined?
  0.00      0.00     0.00     0.00     0.00       53  ActiveSupport::Dependencies#log
  0.00      0.00     0.00     0.00     0.00       62  Set#<<
  0.00      0.00     0.00     0.00     0.00      233  Array#[]
  0.00      0.00     0.00     0.00     0.00       27  ActiveSupport::Inflector#underscore
  0.00      0.00     0.00     0.00     0.00       20  Rational#+-1
  0.00      0.00     0.00     0.00     0.00      200  Module#const_get
  0.00      2.02     0.00     0.00     2.02       10  ActiveRecord::AssociationPreload::ClassMethods#preload_belongs_to_association
  0.00      0.02     0.00     0.00     0.02       20  <Class::ActiveRecord::Base>#sanitize_sql_array
  0.00      0.01     0.00     0.00     0.01      110  Enumerable#all?
  0.00      0.01     0.00     0.00     0.01       15  SQLite3::Statement#get_metadata
  0.00      0.00     0.00     0.00     0.00       25  <Class::ActiveSupport::Callbacks::CallbackChain>#extract_options
  0.00      0.00     0.00     0.00     0.00       38  ActiveSupport::CoreExtensions::String::Inflections#camelize
  0.00      0.00     0.00     0.00     0.00       21  <Class::ActiveRecord::Base>#add_lock!
  0.00      0.00     0.00     0.00     0.00       20  String#scan
  0.00      0.00     0.00     0.00     0.00       63  <Class::Time>#now
  0.00     12.01     0.00     0.00    12.01       21  <Class::ActiveRecord::Base>#find_by_sql
